date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:52	46240/46240	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Sep%202021%2001:05:42%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/berita/PPPK.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/berita/PPPK.jpg	(from https://www.sman3klaten.sch.id/)
23:09:54	39497/39497	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Sep%202021%2013:27:18%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/berita/vaksinsmaga.jpeg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/berita/vaksinsmaga.jpg	(from https://www.sman3klaten.sch.id/)
23:09:54	28843/28843	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:52%20GMT	https://sman3klaten.sch.id/index.php/web/berita/185	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/berita/185.html	(from https://www.sman3klaten.sch.id/)
23:09:56	28988/28988	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:54%20GMT	https://sman3klaten.sch.id/index.php/web/berita/184	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/berita/184.html	(from https://www.sman3klaten.sch.id/)
23:09:57	27980/27980	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:55%20GMT	https://sman3klaten.sch.id/index.php/web/lihathasil	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/lihathasil.html	(from https://www.sman3klaten.sch.id/)
23:10:02	1400/1400	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:56%20GMT	https://sman3klaten.sch.id/index.php/web/detailpengumuman/32	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/detailpengumuman/32.html	(from https://www.sman3klaten.sch.id/)
23:10:09	816/816	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:10:03%20GMT	https://sman3klaten.sch.id/index.php/web/detailpengumuman/31	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/detailpengumuman/31.html	(from https://www.sman3klaten.sch.id/)
23:10:15	826/826	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:10:09%20GMT	https://sman3klaten.sch.id/index.php/web/detailpengumuman/30	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/detailpengumuman/30.html	(from https://www.sman3klaten.sch.id/)
23:10:22	1224/1224	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:10:16%20GMT	https://sman3klaten.sch.id/index.php/web/detailpengumuman/28	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/detailpengumuman/28.html	(from https://www.sman3klaten.sch.id/)
23:10:29	1367/1367	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:10:23%20GMT	https://sman3klaten.sch.id/index.php/web/detailpengumuman/27	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/detailpengumuman/27.html	(from https://www.sman3klaten.sch.id/)
